year,city,country,avg_temp
1869,Brisbane,Australia,19.36
1870,Brisbane,Australia,19.24
1871,Brisbane,Australia,19.10
1872,Brisbane,Australia,18.88
1873,Brisbane,Australia,19.03
1874,Brisbane,Australia,19.03
1875,Brisbane,Australia,19.26
1876,Brisbane,Australia,19.47
1877,Brisbane,Australia,19.61
1878,Brisbane,Australia,19.98
1879,Brisbane,Australia,18.94
1880,Brisbane,Australia,18.84
1881,Brisbane,Australia,19.17
1882,Brisbane,Australia,19.33
1883,Brisbane,Australia,18.56
1884,Brisbane,Australia,19.53
1885,Brisbane,Australia,19.25
1886,Brisbane,Australia,19.41
1887,Brisbane,Australia,18.82
1888,Brisbane,Australia,19.14
1889,Brisbane,Australia,19.67
1890,Brisbane,Australia,19.03
1891,Brisbane,Australia,18.89
1892,Brisbane,Australia,19.42
1893,Brisbane,Australia,19.16
1894,Brisbane,Australia,18.81
1895,Brisbane,Australia,18.98
1896,Brisbane,Australia,19.01
1897,Brisbane,Australia,19.69
1898,Brisbane,Australia,19.44
1899,Brisbane,Australia,19.19
1900,Brisbane,Australia,19.40
1901,Brisbane,Australia,19.30
1902,Brisbane,Australia,19.81
1903,Brisbane,Australia,19.34
1904,Brisbane,Australia,19.07
1905,Brisbane,Australia,18.99
1906,Brisbane,Australia,19.19
1907,Brisbane,Australia,19.32
1908,Brisbane,Australia,18.84
1909,Brisbane,Australia,19.01
1910,Brisbane,Australia,19.32
1911,Brisbane,Australia,19.19
1912,Brisbane,Australia,19.62
1913,Brisbane,Australia,19.38
1914,Brisbane,Australia,19.98
1915,Brisbane,Australia,20.14
1916,Brisbane,Australia,19.50
1917,Brisbane,Australia,18.86
1918,Brisbane,Australia,19.12
1919,Brisbane,Australia,19.92
1920,Brisbane,Australia,19.25
1921,Brisbane,Australia,19.55
1922,Brisbane,Australia,19.64
1923,Brisbane,Australia,19.73
1924,Brisbane,Australia,19.40
1925,Brisbane,Australia,18.99
1926,Brisbane,Australia,19.91
1927,Brisbane,Australia,18.96
1928,Brisbane,Australia,19.64
1929,Brisbane,Australia,19.34
1930,Brisbane,Australia,19.36
1931,Brisbane,Australia,19.69
1932,Brisbane,Australia,19.50
1933,Brisbane,Australia,19.37
1934,Brisbane,Australia,18.92
1935,Brisbane,Australia,19.23
1936,Brisbane,Australia,19.60
1937,Brisbane,Australia,19.45
1938,Brisbane,Australia,19.83
1939,Brisbane,Australia,19.29
1940,Brisbane,Australia,19.81
1941,Brisbane,Australia,19.43
1942,Brisbane,Australia,19.95
1943,Brisbane,Australia,19.25
1944,Brisbane,Australia,19.47
1945,Brisbane,Australia,19.69
1946,Brisbane,Australia,19.61
1947,Brisbane,Australia,19.43
1948,Brisbane,Australia,19.31
1949,Brisbane,Australia,19.30
1950,Brisbane,Australia,19.65
1951,Brisbane,Australia,19.07
1952,Brisbane,Australia,19.75
1953,Brisbane,Australia,19.56
1954,Brisbane,Australia,19.62
1955,Brisbane,Australia,19.74
1956,Brisbane,Australia,19.24
1957,Brisbane,Australia,19.90
1958,Brisbane,Australia,20.13
1959,Brisbane,Australia,19.40
1960,Brisbane,Australia,19.03
1961,Brisbane,Australia,19.00
1962,Brisbane,Australia,19.27
1963,Brisbane,Australia,19.28
1964,Brisbane,Australia,19.57
1965,Brisbane,Australia,19.59
1966,Brisbane,Australia,19.17
1967,Brisbane,Australia,19.39
1968,Brisbane,Australia,19.57
1969,Brisbane,Australia,19.81
1970,Brisbane,Australia,19.45
1971,Brisbane,Australia,19.31
1972,Brisbane,Australia,19.36
1973,Brisbane,Australia,20.66
1974,Brisbane,Australia,19.28
1975,Brisbane,Australia,19.68
1976,Brisbane,Australia,19.63
1977,Brisbane,Australia,19.85
1978,Brisbane,Australia,19.54
1979,Brisbane,Australia,19.98
1980,Brisbane,Australia,20.32
1981,Brisbane,Australia,19.85
1982,Brisbane,Australia,19.56
1983,Brisbane,Australia,19.93
1984,Brisbane,Australia,19.46
1985,Brisbane,Australia,19.64
1986,Brisbane,Australia,19.93
1987,Brisbane,Australia,20.05
1988,Brisbane,Australia,20.27
1989,Brisbane,Australia,19.66
1990,Brisbane,Australia,20.06
1991,Brisbane,Australia,20.29
1992,Brisbane,Australia,19.79
1993,Brisbane,Australia,20.19
1994,Brisbane,Australia,19.59
1995,Brisbane,Australia,20.12
1996,Brisbane,Australia,20.06
1997,Brisbane,Australia,20.16
1998,Brisbane,Australia,20.62
1999,Brisbane,Australia,19.75
2000,Brisbane,Australia,19.89
2001,Brisbane,Australia,20.21
2002,Brisbane,Australia,20.38
2003,Brisbane,Australia,19.95
2004,Brisbane,Australia,20.42
2005,Brisbane,Australia,20.71
2006,Brisbane,Australia,20.17
2007,Brisbane,Australia,20.31
2008,Brisbane,Australia,19.79
2009,Brisbane,Australia,20.65
2010,Brisbane,Australia,20.33
2011,Brisbane,Australia,19.88
2012,Brisbane,Australia,20.08
2013,Brisbane,Australia,20.14
1841,Canberra,Australia,11.14
1842,Canberra,Australia,11.07
1843,Canberra,Australia,11.42
1844,Canberra,Australia,10.72
1845,Canberra,Australia,11.22
1846,Canberra,Australia,11.55
1847,Canberra,Australia,11.13
1848,Canberra,Australia,10.72
1849,Canberra,Australia,10.48
1850,Canberra,Australia,11.13
1851,Canberra,Australia,11.09
1852,Canberra,Australia,10.85
1853,Canberra,Australia,10.58
1854,Canberra,Australia,10.95
1855,Canberra,Australia,9.14
1856,Canberra,Australia,11.37
1857,Canberra,Australia,11.34
1858,Canberra,Australia,11.67
1859,Canberra,Australia,10.93
1860,Canberra,Australia,11.00
1861,Canberra,Australia,11.20
1862,Canberra,Australia,11.50
1863,Canberra,Australia,11.01
1864,Canberra,Australia,10.96
1865,Canberra,Australia,11.14
1866,Canberra,Australia,11.45
1867,Canberra,Australia,11.77
1868,Canberra,Australia,11.49
1869,Canberra,Australia,11.42
1870,Canberra,Australia,11.45
1871,Canberra,Australia,11.43
1872,Canberra,Australia,11.27
1873,Canberra,Australia,11.30
1874,Canberra,Australia,11.26
1875,Canberra,Australia,11.32
1876,Canberra,Australia,11.69
1877,Canberra,Australia,11.39
1878,Canberra,Australia,11.74
1879,Canberra,Australia,10.97
1880,Canberra,Australia,11.42
1881,Canberra,Australia,11.36
1882,Canberra,Australia,11.54
1883,Canberra,Australia,11.09
1884,Canberra,Australia,11.24
1885,Canberra,Australia,11.28
1886,Canberra,Australia,11.15
1887,Canberra,Australia,11.20
1888,Canberra,Australia,11.20
1889,Canberra,Australia,11.71
1890,Canberra,Australia,11.51
1891,Canberra,Australia,11.31
1892,Canberra,Australia,11.03
1893,Canberra,Australia,11.24
1894,Canberra,Australia,11.36
1895,Canberra,Australia,11.39
1896,Canberra,Australia,11.52
1897,Canberra,Australia,11.39
1898,Canberra,Australia,11.70
1899,Canberra,Australia,11.70
1900,Canberra,Australia,11.56
1901,Canberra,Australia,11.39
1902,Canberra,Australia,11.45
1903,Canberra,Australia,11.36
1904,Canberra,Australia,11.12
1905,Canberra,Australia,10.98
1906,Canberra,Australia,11.39
1907,Canberra,Australia,11.21
1908,Canberra,Australia,11.46
1909,Canberra,Australia,10.86
1910,Canberra,Australia,11.57
1911,Canberra,Australia,11.28
1912,Canberra,Australia,11.57
1913,Canberra,Australia,11.62
1914,Canberra,Australia,12.50
1915,Canberra,Australia,11.65
1916,Canberra,Australia,11.18
1917,Canberra,Australia,10.91
1918,Canberra,Australia,11.08
1919,Canberra,Australia,12.10
1920,Canberra,Australia,11.26
1921,Canberra,Australia,11.55
1922,Canberra,Australia,11.55
1923,Canberra,Australia,11.58
1924,Canberra,Australia,10.78
1925,Canberra,Australia,10.96
1926,Canberra,Australia,11.57
1927,Canberra,Australia,11.07
1928,Canberra,Australia,11.71
1929,Canberra,Australia,10.96
1930,Canberra,Australia,11.78
1931,Canberra,Australia,11.21
1932,Canberra,Australia,11.34
1933,Canberra,Australia,11.24
1934,Canberra,Australia,11.54
1935,Canberra,Australia,10.92
1936,Canberra,Australia,11.17
1937,Canberra,Australia,11.50
1938,Canberra,Australia,11.95
1939,Canberra,Australia,11.85
1940,Canberra,Australia,11.90
1941,Canberra,Australia,11.28
1942,Canberra,Australia,11.81
1943,Canberra,Australia,10.82
1944,Canberra,Australia,11.36
1945,Canberra,Australia,11.26
1946,Canberra,Australia,11.35
1947,Canberra,Australia,11.53
1948,Canberra,Australia,10.85
1949,Canberra,Australia,10.95
1950,Canberra,Australia,11.73
1951,Canberra,Australia,11.40
1952,Canberra,Australia,11.29
1953,Canberra,Australia,11.07
1954,Canberra,Australia,11.43
1955,Canberra,Australia,11.42
1956,Canberra,Australia,10.96
1957,Canberra,Australia,11.44
1958,Canberra,Australia,11.61
1959,Canberra,Australia,11.85
1960,Canberra,Australia,11.30
1961,Canberra,Australia,11.69
1962,Canberra,Australia,11.26
1963,Canberra,Australia,11.59
1964,Canberra,Australia,11.14
1965,Canberra,Australia,11.52
1966,Canberra,Australia,10.95
1967,Canberra,Australia,11.51
1968,Canberra,Australia,11.78
1969,Canberra,Australia,11.62
1970,Canberra,Australia,11.01
1971,Canberra,Australia,11.16
1972,Canberra,Australia,11.61
1973,Canberra,Australia,12.34
1974,Canberra,Australia,11.55
1975,Canberra,Australia,11.88
1976,Canberra,Australia,11.32
1977,Canberra,Australia,11.70
1978,Canberra,Australia,11.68
1979,Canberra,Australia,12.06
1980,Canberra,Australia,12.40
1981,Canberra,Australia,12.20
1982,Canberra,Australia,12.13
1983,Canberra,Australia,12.08
1984,Canberra,Australia,11.17
1985,Canberra,Australia,11.65
1986,Canberra,Australia,11.42
1987,Canberra,Australia,11.70
1988,Canberra,Australia,12.54
1989,Canberra,Australia,11.83
1990,Canberra,Australia,12.11
1991,Canberra,Australia,12.22
1992,Canberra,Australia,11.21
1993,Canberra,Australia,11.84
1994,Canberra,Australia,11.60
1995,Canberra,Australia,11.39
1996,Canberra,Australia,11.29
1997,Canberra,Australia,12.13
1998,Canberra,Australia,12.46
1999,Canberra,Australia,12.10
2000,Canberra,Australia,12.09
2001,Canberra,Australia,12.29
2002,Canberra,Australia,12.31
2003,Canberra,Australia,12.23
2004,Canberra,Australia,12.35
2005,Canberra,Australia,12.48
2006,Canberra,Australia,12.51
2007,Canberra,Australia,12.83
2008,Canberra,Australia,12.00
2009,Canberra,Australia,12.87
2010,Canberra,Australia,12.37
2011,Canberra,Australia,12.16
2012,Canberra,Australia,11.79
2013,Canberra,Australia,12.19
1743,Cardiff,United Kingdom,7.07
1744,Cardiff,United Kingdom,9.80
1745,Cardiff,United Kingdom,4.05
1746,Cardiff,United Kingdom,
1747,Cardiff,United Kingdom,
1748,Cardiff,United Kingdom,
1749,Cardiff,United Kingdom,
1750,Cardiff,United Kingdom,9.73
1751,Cardiff,United Kingdom,9.51
1752,Cardiff,United Kingdom,6.26
1753,Cardiff,United Kingdom,8.97
1754,Cardiff,United Kingdom,8.82
1755,Cardiff,United Kingdom,8.54
1756,Cardiff,United Kingdom,8.98
1757,Cardiff,United Kingdom,8.92
1758,Cardiff,United Kingdom,8.29
1759,Cardiff,United Kingdom,9.26
1760,Cardiff,United Kingdom,8.69
1761,Cardiff,United Kingdom,9.23
1762,Cardiff,United Kingdom,8.60
1763,Cardiff,United Kingdom,8.29
1764,Cardiff,United Kingdom,8.64
1765,Cardiff,United Kingdom,8.47
1766,Cardiff,United Kingdom,8.58
1767,Cardiff,United Kingdom,8.62
1768,Cardiff,United Kingdom,8.66
1769,Cardiff,United Kingdom,8.60
1770,Cardiff,United Kingdom,8.51
1771,Cardiff,United Kingdom,8.42
1772,Cardiff,United Kingdom,8.82
1773,Cardiff,United Kingdom,8.71
1774,Cardiff,United Kingdom,8.63
1775,Cardiff,United Kingdom,9.53
1776,Cardiff,United Kingdom,8.73
1777,Cardiff,United Kingdom,8.83
1778,Cardiff,United Kingdom,9.30
1779,Cardiff,United Kingdom,10.19
1780,Cardiff,United Kingdom,9.29
1781,Cardiff,United Kingdom,9.91
1782,Cardiff,United Kingdom,7.92
1783,Cardiff,United Kingdom,9.34
1784,Cardiff,United Kingdom,7.93
1785,Cardiff,United Kingdom,8.22
1786,Cardiff,United Kingdom,8.03
1787,Cardiff,United Kingdom,9.11
1788,Cardiff,United Kingdom,9.03
1789,Cardiff,United Kingdom,8.80
1790,Cardiff,United Kingdom,9.27
1791,Cardiff,United Kingdom,9.16
1792,Cardiff,United Kingdom,9.13
1793,Cardiff,United Kingdom,9.13
1794,Cardiff,United Kingdom,9.47
1795,Cardiff,United Kingdom,8.71
1796,Cardiff,United Kingdom,9.02
1797,Cardiff,United Kingdom,9.13
1798,Cardiff,United Kingdom,9.42
1799,Cardiff,United Kingdom,7.61
1800,Cardiff,United Kingdom,8.83
1801,Cardiff,United Kingdom,9.21
1802,Cardiff,United Kingdom,8.93
1803,Cardiff,United Kingdom,8.52
1804,Cardiff,United Kingdom,9.05
1805,Cardiff,United Kingdom,8.43
1806,Cardiff,United Kingdom,9.29
1807,Cardiff,United Kingdom,8.48
1808,Cardiff,United Kingdom,8.45
1809,Cardiff,United Kingdom,8.45
1810,Cardiff,United Kingdom,8.43
1811,Cardiff,United Kingdom,9.40
1812,Cardiff,United Kingdom,8.11
1813,Cardiff,United Kingdom,8.66
1814,Cardiff,United Kingdom,7.52
1815,Cardiff,United Kingdom,8.42
1816,Cardiff,United Kingdom,7.57
1817,Cardiff,United Kingdom,8.46
1818,Cardiff,United Kingdom,9.38
1819,Cardiff,United Kingdom,8.99
1820,Cardiff,United Kingdom,8.32
1821,Cardiff,United Kingdom,9.26
1822,Cardiff,United Kingdom,9.81
1823,Cardiff,United Kingdom,8.39
1824,Cardiff,United Kingdom,9.16
1825,Cardiff,United Kingdom,9.50
1826,Cardiff,United Kingdom,9.63
1827,Cardiff,United Kingdom,9.00
1828,Cardiff,United Kingdom,9.68
1829,Cardiff,United Kingdom,7.70
1830,Cardiff,United Kingdom,8.42
1831,Cardiff,United Kingdom,9.48
1832,Cardiff,United Kingdom,8.89
1833,Cardiff,United Kingdom,8.94
1834,Cardiff,United Kingdom,10.01
1835,Cardiff,United Kingdom,9.06
1836,Cardiff,United Kingdom,8.47
1837,Cardiff,United Kingdom,8.46
1838,Cardiff,United Kingdom,7.75
1839,Cardiff,United Kingdom,8.35
1840,Cardiff,United Kingdom,8.26
1841,Cardiff,United Kingdom,8.52
1842,Cardiff,United Kingdom,8.97
1843,Cardiff,United Kingdom,8.88
1844,Cardiff,United Kingdom,8.51
1845,Cardiff,United Kingdom,8.08
1846,Cardiff,United Kingdom,9.90
1847,Cardiff,United Kingdom,8.89
1848,Cardiff,United Kingdom,8.97
1849,Cardiff,United Kingdom,8.97
1850,Cardiff,United Kingdom,8.74
1851,Cardiff,United Kingdom,8.86
1852,Cardiff,United Kingdom,9.48
1853,Cardiff,United Kingdom,8.16
1854,Cardiff,United Kingdom,8.96
1855,Cardiff,United Kingdom,7.80
1856,Cardiff,United Kingdom,8.76
1857,Cardiff,United Kingdom,9.76
1858,Cardiff,United Kingdom,8.89
1859,Cardiff,United Kingdom,9.40
1860,Cardiff,United Kingdom,7.81
1861,Cardiff,United Kingdom,9.04
1862,Cardiff,United Kingdom,8.97
1863,Cardiff,United Kingdom,9.37
1864,Cardiff,United Kingdom,8.53
1865,Cardiff,United Kingdom,9.40
1866,Cardiff,United Kingdom,9.18
1867,Cardiff,United Kingdom,8.65
1868,Cardiff,United Kingdom,9.91
1869,Cardiff,United Kingdom,9.14
1870,Cardiff,United Kingdom,8.66
1871,Cardiff,United Kingdom,8.74
1872,Cardiff,United Kingdom,9.42
1873,Cardiff,United Kingdom,8.75
1874,Cardiff,United Kingdom,9.00
1875,Cardiff,United Kingdom,9.00
1876,Cardiff,United Kingdom,9.21
1877,Cardiff,United Kingdom,8.93
1878,Cardiff,United Kingdom,9.00
1879,Cardiff,United Kingdom,7.18
1880,Cardiff,United Kingdom,8.83
1881,Cardiff,United Kingdom,8.26
1882,Cardiff,United Kingdom,9.03
1883,Cardiff,United Kingdom,8.67
1884,Cardiff,United Kingdom,9.36
1885,Cardiff,United Kingdom,8.20
1886,Cardiff,United Kingdom,8.34
1887,Cardiff,United Kingdom,8.07
1888,Cardiff,United Kingdom,7.95
1889,Cardiff,United Kingdom,8.63
1890,Cardiff,United Kingdom,8.56
1891,Cardiff,United Kingdom,8.29
1892,Cardiff,United Kingdom,7.93
1893,Cardiff,United Kingdom,9.66
1894,Cardiff,United Kingdom,8.94
1895,Cardiff,United Kingdom,8.34
1896,Cardiff,United Kingdom,9.01
1897,Cardiff,United Kingdom,9.12
1898,Cardiff,United Kingdom,9.67
1899,Cardiff,United Kingdom,9.44
1900,Cardiff,United Kingdom,9.16
1901,Cardiff,United Kingdom,8.75
1902,Cardiff,United Kingdom,8.55
1903,Cardiff,United Kingdom,8.94
1904,Cardiff,United Kingdom,8.73
1905,Cardiff,United Kingdom,8.81
1906,Cardiff,United Kingdom,9.10
1907,Cardiff,United Kingdom,8.57
1908,Cardiff,United Kingdom,9.01
1909,Cardiff,United Kingdom,8.32
1910,Cardiff,United Kingdom,8.88
1911,Cardiff,United Kingdom,9.73
1912,Cardiff,United Kingdom,9.01
1913,Cardiff,United Kingdom,9.41
1914,Cardiff,United Kingdom,9.52
1915,Cardiff,United Kingdom,8.59
1916,Cardiff,United Kingdom,8.82
1917,Cardiff,United Kingdom,8.19
1918,Cardiff,United Kingdom,9.19
1919,Cardiff,United Kingdom,8.15
1920,Cardiff,United Kingdom,9.22
1921,Cardiff,United Kingdom,10.17
1922,Cardiff,United Kingdom,8.37
1923,Cardiff,United Kingdom,8.76
1924,Cardiff,United Kingdom,8.89
1925,Cardiff,United Kingdom,8.82
1926,Cardiff,United Kingdom,9.37
1927,Cardiff,United Kingdom,8.82
1928,Cardiff,United Kingdom,9.24
1929,Cardiff,United Kingdom,8.74
1930,Cardiff,United Kingdom,9.10
1931,Cardiff,United Kingdom,8.71
1932,Cardiff,United Kingdom,9.08
1933,Cardiff,United Kingdom,9.51
1934,Cardiff,United Kingdom,9.65
1935,Cardiff,United Kingdom,9.40
1936,Cardiff,United Kingdom,8.98
1937,Cardiff,United Kingdom,9.21
1938,Cardiff,United Kingdom,9.71
1939,Cardiff,United Kingdom,9.32
1940,Cardiff,United Kingdom,8.81
1941,Cardiff,United Kingdom,8.74
1942,Cardiff,United Kingdom,8.77
1943,Cardiff,United Kingdom,9.71
1944,Cardiff,United Kingdom,9.25
1945,Cardiff,United Kingdom,9.93
1946,Cardiff,United Kingdom,9.10
1947,Cardiff,United Kingdom,9.20
1948,Cardiff,United Kingdom,9.69
1949,Cardiff,United Kingdom,10.26
1950,Cardiff,United Kingdom,9.13
1951,Cardiff,United Kingdom,8.93
1952,Cardiff,United Kingdom,8.88
1953,Cardiff,United Kingdom,9.53
1954,Cardiff,United Kingdom,8.91
1955,Cardiff,United Kingdom,9.01
1956,Cardiff,United Kingdom,8.58
1957,Cardiff,United Kingdom,9.79
1958,Cardiff,United Kingdom,9.17
1959,Cardiff,United Kingdom,10.19
1960,Cardiff,United Kingdom,9.41
1961,Cardiff,United Kingdom,9.58
1962,Cardiff,United Kingdom,8.28
1963,Cardiff,United Kingdom,8.10
1964,Cardiff,United Kingdom,9.15
1965,Cardiff,United Kingdom,8.66
1966,Cardiff,United Kingdom,9.15
1967,Cardiff,United Kingdom,9.31
1968,Cardiff,United Kingdom,9.02
1969,Cardiff,United Kingdom,8.99
1970,Cardiff,United Kingdom,9.29
1971,Cardiff,United Kingdom,9.48
1972,Cardiff,United Kingdom,8.94
1973,Cardiff,United Kingdom,9.37
1974,Cardiff,United Kingdom,9.20
1975,Cardiff,United Kingdom,9.68
1976,Cardiff,United Kingdom,9.67
1977,Cardiff,United Kingdom,9.13
1978,Cardiff,United Kingdom,9.05
1979,Cardiff,United Kingdom,8.51
1980,Cardiff,United Kingdom,9.14
1981,Cardiff,United Kingdom,8.95
1982,Cardiff,United Kingdom,9.59
1983,Cardiff,United Kingdom,9.68
1984,Cardiff,United Kingdom,9.50
1985,Cardiff,United Kingdom,8.54
1986,Cardiff,United Kingdom,8.37
1987,Cardiff,United Kingdom,8.80
1988,Cardiff,United Kingdom,9.44
1989,Cardiff,United Kingdom,10.21
1990,Cardiff,United Kingdom,10.40
1991,Cardiff,United Kingdom,9.24
1992,Cardiff,United Kingdom,9.54
1993,Cardiff,United Kingdom,9.14
1994,Cardiff,United Kingdom,9.86
1995,Cardiff,United Kingdom,10.17
1996,Cardiff,United Kingdom,8.87
1997,Cardiff,United Kingdom,10.17
1998,Cardiff,United Kingdom,10.00
1999,Cardiff,United Kingdom,10.30
2000,Cardiff,United Kingdom,9.97
2001,Cardiff,United Kingdom,9.69
2002,Cardiff,United Kingdom,10.28
2003,Cardiff,United Kingdom,10.25
2004,Cardiff,United Kingdom,10.27
2005,Cardiff,United Kingdom,10.24
2006,Cardiff,United Kingdom,10.58
2007,Cardiff,United Kingdom,10.37
2008,Cardiff,United Kingdom,9.82
2009,Cardiff,United Kingdom,9.90
2010,Cardiff,United Kingdom,8.80
2011,Cardiff,United Kingdom,10.63
2012,Cardiff,United Kingdom,9.55
2013,Cardiff,United Kingdom,9.57
1857,Durban,South Africa,19.52
1858,Durban,South Africa,19.83
1859,Durban,South Africa,19.90
1860,Durban,South Africa,20.01
1861,Durban,South Africa,19.85
1862,Durban,South Africa,19.44
1863,Durban,South Africa,19.85
1864,Durban,South Africa,19.85
1865,Durban,South Africa,20.17
1866,Durban,South Africa,20.10
1867,Durban,South Africa,20.19
1868,Durban,South Africa,19.86
1869,Durban,South Africa,20.20
1870,Durban,South Africa,19.88
1871,Durban,South Africa,19.97
1872,Durban,South Africa,19.97
1873,Durban,South Africa,20.44
1874,Durban,South Africa,20.00
1875,Durban,South Africa,19.71
1876,Durban,South Africa,19.73
1877,Durban,South Africa,20.20
1878,Durban,South Africa,20.14
1879,Durban,South Africa,19.68
1880,Durban,South Africa,19.92
1881,Durban,South Africa,20.00
1882,Durban,South Africa,19.73
1883,Durban,South Africa,19.98
1884,Durban,South Africa,19.66
1885,Durban,South Africa,19.93
1886,Durban,South Africa,20.08
1887,Durban,South Africa,19.60
1888,Durban,South Africa,20.21
1889,Durban,South Africa,20.61
1890,Durban,South Africa,20.30
1891,Durban,South Africa,20.04
1892,Durban,South Africa,20.19
1893,Durban,South Africa,19.59
1894,Durban,South Africa,19.70
1895,Durban,South Africa,19.82
1896,Durban,South Africa,20.55
1897,Durban,South Africa,20.10
1898,Durban,South Africa,19.56
1899,Durban,South Africa,19.83
1900,Durban,South Africa,20.46
1901,Durban,South Africa,19.92
1902,Durban,South Africa,19.91
1903,Durban,South Africa,19.99
1904,Durban,South Africa,19.97
1905,Durban,South Africa,19.84
1906,Durban,South Africa,19.79
1907,Durban,South Africa,19.66
1908,Durban,South Africa,19.86
1909,Durban,South Africa,20.12
1910,Durban,South Africa,19.31
1911,Durban,South Africa,19.73
1912,Durban,South Africa,20.27
1913,Durban,South Africa,20.41
1914,Durban,South Africa,20.50
1915,Durban,South Africa,20.14
1916,Durban,South Africa,19.99
1917,Durban,South Africa,19.59
1918,Durban,South Africa,19.94
1919,Durban,South Africa,20.17
1920,Durban,South Africa,20.22
1921,Durban,South Africa,19.86
1922,Durban,South Africa,20.35
1923,Durban,South Africa,20.58
1924,Durban,South Africa,19.73
1925,Durban,South Africa,20.37
1926,Durban,South Africa,20.44
1927,Durban,South Africa,20.49
1928,Durban,South Africa,20.34
1929,Durban,South Africa,20.33
1930,Durban,South Africa,20.06
1931,Durban,South Africa,20.43
1932,Durban,South Africa,20.55
1933,Durban,South Africa,20.32
1934,Durban,South Africa,20.54
1935,Durban,South Africa,19.63
1936,Durban,South Africa,19.97
1937,Durban,South Africa,20.47
1938,Durban,South Africa,20.54
1939,Durban,South Africa,20.10
1940,Durban,South Africa,20.77
1941,Durban,South Africa,20.93
1942,Durban,South Africa,20.59
1943,Durban,South Africa,20.06
1944,Durban,South Africa,20.66
1945,Durban,South Africa,20.43
1946,Durban,South Africa,20.74
1947,Durban,South Africa,20.55
1948,Durban,South Africa,20.53
1949,Durban,South Africa,20.55
1950,Durban,South Africa,20.62
1951,Durban,South Africa,19.99
1952,Durban,South Africa,20.66
1953,Durban,South Africa,20.38
1954,Durban,South Africa,20.12
1955,Durban,South Africa,19.79
1956,Durban,South Africa,20.14
1957,Durban,South Africa,20.56
1958,Durban,South Africa,20.68
1959,Durban,South Africa,20.35
1960,Durban,South Africa,20.51
1961,Durban,South Africa,20.70
1962,Durban,South Africa,20.92
1963,Durban,South Africa,20.53
1964,Durban,South Africa,20.32
1965,Durban,South Africa,20.27
1966,Durban,South Africa,20.58
1967,Durban,South Africa,20.50
1968,Durban,South Africa,20.02
1969,Durban,South Africa,20.79
1970,Durban,South Africa,20.68
1971,Durban,South Africa,20.19
1972,Durban,South Africa,20.47
1973,Durban,South Africa,20.28
1974,Durban,South Africa,20.58
1975,Durban,South Africa,20.20
1976,Durban,South Africa,20.36
1977,Durban,South Africa,20.94
1978,Durban,South Africa,20.54
1979,Durban,South Africa,20.73
1980,Durban,South Africa,20.77
1981,Durban,South Africa,20.27
1982,Durban,South Africa,20.78
1983,Durban,South Africa,21.25
1984,Durban,South Africa,20.61
1985,Durban,South Africa,21.34
1986,Durban,South Africa,21.08
1987,Durban,South Africa,21.02
1988,Durban,South Africa,20.90
1989,Durban,South Africa,20.82
1990,Durban,South Africa,20.56
1991,Durban,South Africa,21.06
1992,Durban,South Africa,21.53
1993,Durban,South Africa,21.32
1994,Durban,South Africa,20.65
1995,Durban,South Africa,20.73
1996,Durban,South Africa,20.49
1997,Durban,South Africa,20.57
1998,Durban,South Africa,21.22
1999,Durban,South Africa,21.64
2000,Durban,South Africa,20.74
2001,Durban,South Africa,21.25
2002,Durban,South Africa,21.07
2003,Durban,South Africa,21.11
2004,Durban,South Africa,21.11
2005,Durban,South Africa,21.14
2006,Durban,South Africa,20.86
2007,Durban,South Africa,21.07
2008,Durban,South Africa,20.89
2009,Durban,South Africa,20.71
2010,Durban,South Africa,21.54
2011,Durban,South Africa,20.72
2012,Durban,South Africa,21.24
2013,Durban,South Africa,21.31
1743,Edinburgh,United Kingdom,5.27
1744,Edinburgh,United Kingdom,8.29
1745,Edinburgh,United Kingdom,2.75
1746,Edinburgh,United Kingdom,
1747,Edinburgh,United Kingdom,
1748,Edinburgh,United Kingdom,
1749,Edinburgh,United Kingdom,
1750,Edinburgh,United Kingdom,8.41
1751,Edinburgh,United Kingdom,8.16
1752,Edinburgh,United Kingdom,4.78
1753,Edinburgh,United Kingdom,7.51
1754,Edinburgh,United Kingdom,7.42
1755,Edinburgh,United Kingdom,7.14
1756,Edinburgh,United Kingdom,7.64
1757,Edinburgh,United Kingdom,7.65
1758,Edinburgh,United Kingdom,6.87
1759,Edinburgh,United Kingdom,7.85
1760,Edinburgh,United Kingdom,7.13
1761,Edinburgh,United Kingdom,7.93
1762,Edinburgh,United Kingdom,7.13
1763,Edinburgh,United Kingdom,6.92
1764,Edinburgh,United Kingdom,7.13
1765,Edinburgh,United Kingdom,6.87
1766,Edinburgh,United Kingdom,7.14
1767,Edinburgh,United Kingdom,7.14
1768,Edinburgh,United Kingdom,7.20
1769,Edinburgh,United Kingdom,7.24
1770,Edinburgh,United Kingdom,6.96
1771,Edinburgh,United Kingdom,6.86
1772,Edinburgh,United Kingdom,6.95
1773,Edinburgh,United Kingdom,7.25
1774,Edinburgh,United Kingdom,6.86
1775,Edinburgh,United Kingdom,7.95
1776,Edinburgh,United Kingdom,7.15
1777,Edinburgh,United Kingdom,7.34
1778,Edinburgh,United Kingdom,7.82
1779,Edinburgh,United Kingdom,8.90
1780,Edinburgh,United Kingdom,7.75
1781,Edinburgh,United Kingdom,8.53
1782,Edinburgh,United Kingdom,6.28
