loan_amnt,term,int_rate,grade,home_ownership,annual_inc,purpose,loan_status
15000,36 months,14.27,C,RENT,40000,debt_consolidation,Fully Paid
10000,36 months,16.77,D,MORTGAGE,77000,debt_consolidation,Fully Paid
35000,60 months,19.03,E,MORTGAGE,150000,home_improvement,Fully Paid
12000,36 months,9.91,B,MORTGAGE,75000,debt_consolidation,Fully Paid
35000,60 months,19.42,E,MORTGAGE,76519.82,debt_consolidation,Current
6800,36 months,20.3,E,RENT,80000,credit_card,Fully Paid
30000,36 months,17.27,D,RENT,171600,debt_consolidation,Fully Paid
12000,36 months,7.51,A,RENT,45204,debt_consolidation,Fully Paid
18725,60 months,17.27,D,MORTGAGE,52000,debt_consolidation,Charged Off
13000,60 months,15.27,C,RENT,40000,debt_consolidation,Fully Paid
18000,36 months,12.42,B,MORTGAGE,170000,debt_consolidation,Fully Paid
12000,36 months,12.42,B,RENT,62400,credit_card,Fully Paid
16500,60 months,11.71,B,MORTGAGE,33000,small_business,Charged Off
8000,60 months,21.67,F,RENT,45000,other,Current
35000,60 months,19.42,E,OWN,137000,credit_card,Fully Paid
18000,36 months,11.71,B,MORTGAGE,52000,home_improvement,Fully Paid
20000,36 months,12.69,B,MORTGAGE,60000,credit_card,Fully Paid
12000,36 months,7.51,A,MORTGAGE,350000,debt_consolidation,Fully Paid
12000,36 months,7.51,A,MORTGAGE,74000,debt_consolidation,Fully Paid
1000,36 months,9.91,B,RENT,74000,other,Fully Paid
20000,36 months,12.69,B,RENT,72000,debt_consolidation,Fully Paid
24000,36 months,16.29,D,RENT,48000,debt_consolidation,Fully Paid
15000,60 months,13.49,C,MORTGAGE,54000,debt_consolidation,Fully Paid
12000,36 months,11.71,B,RENT,34000,debt_consolidation,Fully Paid
17000,36 months,12.42,B,MORTGAGE,50000,debt_consolidation,Fully Paid
12000,36 months,12.42,B,MORTGAGE,77000,debt_consolidation,Fully Paid
20000,60 months,21.28,F,RENT,165000,debt_consolidation,Fully Paid
24000,36 months,12.69,B,RENT,100450,credit_card,Fully Paid
7500,36 months,6.62,A,MORTGAGE,47000,credit_card,Fully Paid
20000,60 months,14.65,C,RENT,48000,debt_consolidation,Fully Paid
7000,60 months,15.96,C,MORTGAGE,130500,major_purchase,Fully Paid
12800,60 months,17.58,D,RENT,99000,debt_consolidation,Fully Paid
3000,36 months,6.03,A,MORTGAGE,50000,major_purchase,Fully Paid
10000,36 months,12.42,B,RENT,65000,debt_consolidation,Fully Paid
8400,60 months,8.9,A,MORTGAGE,65508,debt_consolidation,Current
15000,36 months,6.03,A,OWN,53481.36,credit_card,Fully Paid
30000,60 months,22.06,F,MORTGAGE,80000,credit_card,Fully Paid
12000,36 months,7.51,A,MORTGAGE,109000,major_purchase,Fully Paid
11125,36 months,13.49,C,MORTGAGE,75000,debt_consolidation,Fully Paid
20000,60 months,14.27,C,MORTGAGE,40000,house,Fully Paid
3525,36 months,6.62,A,RENT,26000,debt_consolidation,Fully Paid
3000,36 months,7.51,A,RENT,64000,moving,Fully Paid
19800,60 months,21.67,F,OWN,170000,home_improvement,Fully Paid
10000,36 months,10.65,B,RENT,40000,credit_card,Fully Paid
5000,36 months,9.91,B,MORTGAGE,101000,other,Fully Paid
3000,36 months,12.69,B,RENT,105000,debt_consolidation,Fully Paid
11200,36 months,14.27,C,MORTGAGE,50000,debt_consolidation,Fully Paid
4800,36 months,7.9,A,RENT,60000,debt_consolidation,Fully Paid
6000,36 months,12.42,B,RENT,37500,debt_consolidation,Fully Paid
3500,36 months,9.91,B,RENT,39000,debt_consolidation,Fully Paid
13350,60 months,17.27,D,OWN,55000,debt_consolidation,Fully Paid
15000,36 months,11.71,B,RENT,33800,other,Fully Paid
20000,60 months,12.69,B,RENT,40000,debt_consolidation,Current
25000,36 months,7.9,A,OWN,84000,other,Fully Paid
5600,36 months,6.03,A,RENT,49000,debt_consolidation,Fully Paid
25000,60 months,17.27,D,RENT,50400,debt_consolidation,Current
16000,36 months,13.49,C,MORTGAGE,50000,debt_consolidation,Fully Paid
24000,36 months,7.51,A,MORTGAGE,75000,other,Fully Paid
14000,60 months,13.49,C,MORTGAGE,67000,credit_card,Current
2400,36 months,17.27,D,RENT,13288,debt_consolidation,Fully Paid
11500,36 months,7.51,A,RENT,57000,debt_consolidation,Fully Paid
2100,36 months,14.65,C,RENT,60000,major_purchase,Fully Paid
6000,36 months,7.9,A,MORTGAGE,75000,small_business,Fully Paid
14000,60 months,13.49,C,OWN,65500,debt_consolidation,Fully Paid
12800,60 months,13.49,C,RENT,45000,debt_consolidation,Current
8000,36 months,7.51,A,RENT,42000,debt_consolidation,Charged Off
12400,60 months,21.28,F,RENT,50000,other,Fully Paid
15000,36 months,17.58,D,OWN,89000,debt_consolidation,Fully Paid
7200,36 months,8.9,A,RENT,60000,credit_card,Fully Paid
8000,36 months,7.9,A,RENT,72000,major_purchase,Fully Paid
10000,36 months,9.91,B,MORTGAGE,30000,wedding,Fully Paid
21200,36 months,12.42,B,MORTGAGE,60000,small_business,Charged Off
9300,60 months,14.27,C,MORTGAGE,75000,other,Fully Paid
21500,60 months,19.03,E,RENT,43000,debt_consolidation,Charged Off
15000,60 months,14.65,C,RENT,55000,credit_card,Fully Paid
30000,60 months,20.89,F,RENT,68000,debt_consolidation,Fully Paid
19125,60 months,15.27,C,RENT,54000,debt_consolidation,Fully Paid
17000,36 months,14.65,C,MORTGAGE,60000,debt_consolidation,Fully Paid
20000,60 months,12.42,B,RENT,80000,debt_consolidation,Fully Paid
5000,36 months,7.51,A,RENT,58000,moving,Fully Paid
5000,36 months,14.27,C,OWN,35000,debt_consolidation,Fully Paid
3800,36 months,18.25,D,RENT,40000,credit_card,Fully Paid
5000,36 months,6.62,A,RENT,37513,debt_consolidation,Charged Off
29000,60 months,17.58,D,MORTGAGE,58000,debt_consolidation,Fully Paid
14000,60 months,17.58,D,MORTGAGE,1.00E+05,car,Current
12000,36 months,10.65,B,MORTGAGE,75000,credit_card,Fully Paid
23000,36 months,13.49,C,RENT,80000,debt_consolidation,Fully Paid
14000,36 months,12.69,B,RENT,62000,debt_consolidation,Fully Paid
5000,36 months,11.71,B,RENT,26000,debt_consolidation,Fully Paid
2500,36 months,13.49,C,MORTGAGE,54000,credit_card,Fully Paid
12000,36 months,11.71,B,RENT,46000,debt_consolidation,Fully Paid
5000,36 months,6.03,A,MORTGAGE,36636,vacation,Fully Paid
19800,60 months,11.71,B,MORTGAGE,96000,major_purchase,Fully Paid
22000,60 months,18.25,D,MORTGAGE,75000,debt_consolidation,Fully Paid
15000,36 months,13.49,C,RENT,45000,debt_consolidation,Fully Paid
7200,36 months,13.49,C,MORTGAGE,114000,debt_consolidation,Charged Off
10000,36 months,16.77,D,MORTGAGE,1.00E+05,debt_consolidation,Fully Paid
8000,36 months,16.29,D,RENT,108000,debt_consolidation,Fully Paid
4800,36 months,8.9,A,RENT,46000,credit_card,Fully Paid
5000,36 months,6.62,A,RENT,62000,debt_consolidation,Fully Paid
10000,36 months,12.69,B,RENT,52000,debt_consolidation,Fully Paid
15000,36 months,13.49,C,RENT,60000,wedding,Fully Paid
25000,60 months,11.71,B,RENT,60000,debt_consolidation,Fully Paid
25000,60 months,10.65,B,MORTGAGE,86923,debt_consolidation,Fully Paid
31000,60 months,12.42,B,MORTGAGE,62400,debt_consolidation,Current
12000,36 months,10.65,B,MORTGAGE,60000,credit_card,Fully Paid
10000,36 months,15.96,C,RENT,91000,credit_card,Fully Paid
20000,36 months,12.42,B,RENT,63000,debt_consolidation,Fully Paid
20000,36 months,14.27,C,RENT,82000,debt_consolidation,Fully Paid
21000,60 months,20.89,F,RENT,71040,debt_consolidation,Charged Off
8000,36 months,6.03,A,OWN,31500,debt_consolidation,Fully Paid
15500,36 months,14.65,C,MORTGAGE,63000,credit_card,Fully Paid
5575,36 months,6.62,A,RENT,28800,debt_consolidation,Fully Paid
30000,60 months,12.42,B,RENT,68000,debt_consolidation,Fully Paid
10000,36 months,14.27,C,MORTGAGE,60000,debt_consolidation,Charged Off
20000,60 months,14.65,C,RENT,40000,debt_consolidation,Fully Paid
10000,36 months,12.42,B,RENT,42000,debt_consolidation,Fully Paid
12000,60 months,12.69,B,RENT,42000,debt_consolidation,Fully Paid
1450,36 months,14.27,C,RENT,55560,debt_consolidation,Fully Paid
30000,60 months,21.28,F,MORTGAGE,75000,debt_consolidation,Fully Paid
12900,60 months,18.25,D,RENT,75000,debt_consolidation,Current
24000,60 months,11.71,B,MORTGAGE,95000,small_business,Fully Paid
2000,36 months,14.27,C,MORTGAGE,27600,debt_consolidation,Fully Paid
22000,60 months,17.27,D,RENT,84000,debt_consolidation,Current
7000,36 months,8.9,A,MORTGAGE,70000,small_business,Fully Paid
10000,36 months,11.71,B,RENT,92000,debt_consolidation,Fully Paid
25000,60 months,11.71,B,MORTGAGE,60000,house,Current
7750,36 months,14.27,C,RENT,26400,debt_consolidation,Charged Off
20000,60 months,15.27,C,MORTGAGE,90000,debt_consolidation,Fully Paid
29100,60 months,18.64,E,MORTGAGE,152004,major_purchase,Fully Paid
12000,36 months,8.9,A,RENT,30000,credit_card,Fully Paid
10150,36 months,7.51,A,RENT,102000,credit_card,Fully Paid
3800,36 months,13.49,C,RENT,47000,debt_consolidation,Fully Paid
10000,36 months,6.03,A,MORTGAGE,55000,major_purchase,Fully Paid
7000,36 months,11.71,B,RENT,57000,debt_consolidation,Fully Paid
15000,36 months,6.03,A,MORTGAGE,80000,small_business,Fully Paid
10000,36 months,13.49,C,RENT,150000,car,Fully Paid
22000,60 months,11.71,B,RENT,50000,debt_consolidation,Fully Paid
18825,60 months,22.06,F,RENT,50000,debt_consolidation,Charged Off
10000,36 months,7.51,A,RENT,80000,debt_consolidation,Charged Off
20000,60 months,17.27,D,RENT,65000,debt_consolidation,Fully Paid
8000,36 months,14.65,C,RENT,87000,debt_consolidation,Fully Paid
12000,36 months,12.42,B,RENT,88000,debt_consolidation,Fully Paid
20450,60 months,18.64,E,RENT,52008,debt_consolidation,Charged Off
12000,36 months,14.27,C,MORTGAGE,40000,credit_card,Charged Off
7000,60 months,12.42,B,MORTGAGE,56400,debt_consolidation,Current
24000,60 months,12.69,B,MORTGAGE,103000,debt_consolidation,Fully Paid
24000,60 months,17.58,D,RENT,125004,debt_consolidation,Current
7000,36 months,10.65,B,RENT,36475,debt_consolidation,Charged Off
17500,36 months,10.65,B,MORTGAGE,78413,credit_card,Fully Paid
6400,36 months,7.51,A,OWN,44000,credit_card,Fully Paid
15000,60 months,17.27,D,RENT,62000,debt_consolidation,Current
13000,36 months,7.9,A,RENT,33000,debt_consolidation,Fully Paid
18000,60 months,15.96,C,MORTGAGE,63000,debt_consolidation,Fully Paid
8000,36 months,6.62,A,RENT,65000,small_business,Fully Paid
7800,36 months,10.65,B,MORTGAGE,48000,debt_consolidation,Fully Paid
15000,36 months,14.27,C,RENT,53000,debt_consolidation,Fully Paid
23600,60 months,18.64,E,OWN,60000,debt_consolidation,Current
15000,36 months,12.42,B,RENT,95000,debt_consolidation,Fully Paid
24000,60 months,18.25,D,RENT,86779,wedding,Charged Off
23500,60 months,12.69,B,RENT,48000,debt_consolidation,Fully Paid
35000,60 months,21.67,F,MORTGAGE,83500,debt_consolidation,Fully Paid
2100,36 months,17.27,D,RENT,44400,other,Fully Paid
16600,60 months,15.96,C,RENT,40000,debt_consolidation,Fully Paid
18000,60 months,15.96,C,RENT,102000,debt_consolidation,Fully Paid
16000,36 months,14.27,C,OWN,60000,credit_card,Fully Paid
12000,36 months,12.42,B,MORTGAGE,37500,credit_card,Fully Paid
18000,60 months,19.03,E,MORTGAGE,75000,debt_consolidation,Charged Off
10800,36 months,13.49,C,RENT,50000,credit_card,Fully Paid
15000,36 months,12.42,B,RENT,47840,debt_consolidation,Fully Paid
7100,36 months,15.27,C,MORTGAGE,40000,home_improvement,Fully Paid
10000,36 months,9.91,B,RENT,80000,debt_consolidation,Fully Paid
6000,36 months,12.69,B,RENT,51000,debt_consolidation,Fully Paid
10400,36 months,16.29,D,RENT,65000,debt_consolidation,Fully Paid
2000,36 months,12.42,B,MORTGAGE,25056,other,Fully Paid
8000,36 months,16.29,D,MORTGAGE,75000,debt_consolidation,Fully Paid
10000,36 months,14.27,C,RENT,40000,debt_consolidation,Fully Paid
12000,36 months,11.71,B,RENT,83000,credit_card,Fully Paid
16000,60 months,15.96,C,MORTGAGE,61000,debt_consolidation,Current
35000,36 months,19.03,E,RENT,2.00E+05,debt_consolidation,Fully Paid
4500,36 months,6.62,A,RENT,42000,wedding,Fully Paid
12000,60 months,19.03,E,RENT,80000,credit_card,Fully Paid
20000,36 months,7.9,A,MORTGAGE,120000,medical,Fully Paid
10000,36 months,10.65,B,RENT,45000,debt_consolidation,Fully Paid
20000,60 months,19.42,E,MORTGAGE,48000,debt_consolidation,Fully Paid
28000,60 months,20.89,F,RENT,80000,debt_consolidation,Current
4000,36 months,10.65,B,MORTGAGE,90000,debt_consolidation,Fully Paid
12000,36 months,6.03,A,RENT,75000,debt_consolidation,Fully Paid
12000,36 months,16.77,D,RENT,98000,debt_consolidation,Fully Paid
20000,36 months,13.49,C,MORTGAGE,118560,credit_card,Fully Paid
8000,36 months,7.9,A,RENT,72000,debt_consolidation,Fully Paid
35000,60 months,18.64,E,RENT,140000,credit_card,Current
20000,36 months,11.71,B,MORTGAGE,120000,debt_consolidation,Fully Paid
20000,36 months,12.42,B,RENT,77000,debt_consolidation,Fully Paid
3500,36 months,7.9,A,MORTGAGE,60000,home_improvement,Fully Paid
5000,36 months,13.49,C,OWN,36000,wedding,Charged Off
1300,36 months,14.27,C,RENT,60000,moving,Charged Off
7500,36 months,15.27,C,RENT,45000,credit_card,Fully Paid
7800,36 months,8.9,A,MORTGAGE,117000,medical,Fully Paid
6925,36 months,11.71,B,RENT,25000,debt_consolidation,Fully Paid
12800,36 months,13.49,C,OWN,80000,credit_card,Fully Paid
15000,36 months,15.27,C,RENT,48000,debt_consolidation,Charged Off
8000,36 months,12.69,B,MORTGAGE,40800,debt_consolidation,Fully Paid
5375,36 months,12.69,B,RENT,18000,credit_card,Fully Paid
2500,36 months,12.69,B,RENT,42500,credit_card,Fully Paid
17625,36 months,8.9,A,RENT,45000,debt_consolidation,Fully Paid
6000,36 months,15.27,C,MORTGAGE,66000,other,Charged Off
7100,36 months,12.42,B,OWN,24000,debt_consolidation,Fully Paid
20000,60 months,16.77,D,RENT,110000,debt_consolidation,Current
2800,36 months,10.65,B,MORTGAGE,90000,medical,Fully Paid
14000,60 months,20.89,F,MORTGAGE,158000,credit_card,Fully Paid
12000,36 months,7.51,A,RENT,32000,credit_card,Fully Paid
6625,36 months,12.69,B,RENT,24947.3,credit_card,Charged Off
14675,36 months,12.69,B,MORTGAGE,40000,debt_consolidation,Fully Paid
15000,36 months,11.71,B,RENT,74000,debt_consolidation,Fully Paid
12000,36 months,7.9,A,RENT,70000,debt_consolidation,Fully Paid
13000,36 months,8.9,A,RENT,44100,credit_card,Fully Paid
12000,36 months,10.65,B,RENT,55000,credit_card,Fully Paid
10000,36 months,16.29,D,RENT,35000,credit_card,Fully Paid
11550,36 months,16.77,D,RENT,83954,credit_card,Fully Paid
6000,36 months,8.9,A,OWN,1.00E+05,home_improvement,Fully Paid
35000,60 months,18.64,E,MORTGAGE,248000,debt_consolidation,Current
9000,36 months,16.77,D,RENT,160000,debt_consolidation,Fully Paid
12000,60 months,14.65,C,RENT,35000,debt_consolidation,Fully Paid
28000,36 months,7.9,A,MORTGAGE,82000,debt_consolidation,Fully Paid
17400,60 months,14.65,C,MORTGAGE,43000,debt_consolidation,Charged Off
13000,36 months,6.03,A,MORTGAGE,73000,credit_card,Fully Paid
14000,60 months,13.49,C,OWN,30000,debt_consolidation,Current
17000,36 months,13.49,C,RENT,37000,debt_consolidation,Fully Paid
6000,36 months,14.65,C,RENT,30000,debt_consolidation,Fully Paid
20000,36 months,10.65,B,RENT,65000,credit_card,Fully Paid
1100,36 months,14.65,C,MORTGAGE,36000,vacation,Charged Off
10000,36 months,7.9,A,RENT,75000,wedding,Fully Paid
7000,36 months,9.91,B,RENT,54008,debt_consolidation,Fully Paid
14000,36 months,10.65,B,MORTGAGE,85000,debt_consolidation,Fully Paid
5000,36 months,6.62,A,MORTGAGE,54000,debt_consolidation,Fully Paid
8500,36 months,6.62,A,MORTGAGE,84000,credit_card,Fully Paid
19750,60 months,16.77,D,MORTGAGE,66500,debt_consolidation,Fully Paid
21000,36 months,10.65,B,MORTGAGE,53004,other,Fully Paid
15000,60 months,18.64,E,OWN,50000,credit_card,Charged Off
12000,36 months,6.62,A,RENT,71151,credit_card,Fully Paid
9000,36 months,7.51,A,MORTGAGE,125000,debt_consolidation,Fully Paid
18000,36 months,18.64,E,RENT,180000,debt_consolidation,Fully Paid
10000,36 months,14.27,C,MORTGAGE,3.00E+05,debt_consolidation,Fully Paid
7000,36 months,8.9,A,MORTGAGE,35000,debt_consolidation,Fully Paid
8000,36 months,16.29,D,RENT,63000,credit_card,Fully Paid
26000,60 months,19.03,E,RENT,72000,debt_consolidation,Charged Off
28000,60 months,10.65,B,RENT,64936,debt_consolidation,Fully Paid
35000,60 months,13.49,C,RENT,98000,debt_consolidation,Charged Off
5500,60 months,19.42,E,RENT,25000,other,Charged Off
14400,60 months,14.65,C,MORTGAGE,105000,debt_consolidation,Fully Paid
10000,36 months,10.65,B,RENT,44000,other,Fully Paid
28000,36 months,16.77,D,OWN,76000,credit_card,Charged Off
5000,36 months,16.29,D,OWN,24000,major_purchase,Fully Paid
20000,36 months,11.71,B,RENT,57000,debt_consolidation,Fully Paid
7000,36 months,16.77,D,RENT,45000,credit_card,Fully Paid
10000,36 months,13.49,C,MORTGAGE,72000,debt_consolidation,Fully Paid
10000,36 months,16.77,D,RENT,44000,credit_card,Fully Paid
10000,36 months,11.71,B,RENT,60000,credit_card,Charged Off
20000,36 months,10.65,B,RENT,65000,debt_consolidation,Fully Paid
6000,36 months,12.69,B,RENT,65000,debt_consolidation,Fully Paid
16000,36 months,17.27,D,RENT,65000,debt_consolidation,Fully Paid
3400,36 months,9.91,B,MORTGAGE,125000,debt_consolidation,Fully Paid
6000,36 months,13.49,C,MORTGAGE,22500,debt_consolidation,Fully Paid
7000,36 months,7.9,A,MORTGAGE,47000,credit_card,Charged Off
12000,60 months,13.49,C,OWN,52000,debt_consolidation,Current
7875,60 months,19.42,E,RENT,25000,debt_consolidation,Fully Paid
21000,60 months,21.28,F,MORTGAGE,109992,other,Current
17000,36 months,6.62,A,MORTGAGE,78301,debt_consolidation,Fully Paid
6000,36 months,9.91,B,RENT,54516,car,Fully Paid
9500,36 months,6.62,A,MORTGAGE,43000,debt_consolidation,Fully Paid
16000,60 months,14.27,C,MORTGAGE,72000,debt_consolidation,Fully Paid
35000,60 months,22.35,F,MORTGAGE,65000,debt_consolidation,Charged Off
1200,36 months,18.25,D,RENT,20400,other,Charged Off
20000,60 months,17.58,D,OWN,86124,debt_consolidation,Charged Off
5000,36 months,14.27,C,RENT,24000,other,Charged Off
5400,36 months,16.29,D,RENT,32000,medical,Charged Off
12000,60 months,19.91,E,RENT,36500,debt_consolidation,Charged Off
12775,36 months,9.91,B,MORTGAGE,38000,credit_card,Fully Paid
5000,36 months,17.58,D,RENT,21600,other,Fully Paid
15000,60 months,19.91,E,RENT,41500,debt_consolidation,Fully Paid
15600,36 months,13.49,C,MORTGAGE,75000,credit_card,Fully Paid
5050,60 months,21.67,F,MORTGAGE,67517.64,other,Charged Off
12000,60 months,18.25,D,RENT,34500,debt_consolidation,Fully Paid
24000,60 months,18.64,E,MORTGAGE,120000,home_improvement,Fully Paid
25000,60 months,12.42,B,MORTGAGE,54600,wedding,Fully Paid
12000,36 months,16.29,D,MORTGAGE,72000,debt_consolidation,Fully Paid
10000,36 months,12.69,B,RENT,70000,credit_card,Fully Paid
2400,36 months,9.91,B,RENT,46000,vacation,Fully Paid
5825,36 months,14.27,C,RENT,25000,credit_card,Fully Paid
20000,36 months,11.71,B,RENT,65000,debt_consolidation,Fully Paid
16000,36 months,11.71,B,RENT,47000,credit_card,Fully Paid
1500,36 months,9.91,B,MORTGAGE,25632,other,Fully Paid
12500,36 months,10.65,B,MORTGAGE,50000,small_business,Fully Paid
12000,60 months,8.9,A,MORTGAGE,70000,debt_consolidation,Charged Off
6000,36 months,6.03,A,MORTGAGE,30000,major_purchase,Fully Paid
3500,36 months,8.9,A,MORTGAGE,47500,car,Fully Paid
4000,36 months,16.77,D,MORTGAGE,45000,medical,Fully Paid
12100,60 months,17.27,D,RENT,50000,house,Fully Paid
20000,60 months,14.27,C,MORTGAGE,60000,debt_consolidation,Charged Off
8500,36 months,7.9,A,MORTGAGE,25000,debt_consolidation,Fully Paid
15000,36 months,12.42,B,MORTGAGE,90000,debt_consolidation,Fully Paid
15600,36 months,7.9,A,MORTGAGE,43000,debt_consolidation,Fully Paid
10000,36 months,12.42,B,MORTGAGE,65000,debt_consolidation,Fully Paid
2400,36 months,12.42,B,MORTGAGE,78000,debt_consolidation,Fully Paid
12000,60 months,7.9,A,MORTGAGE,102000,car,Fully Paid
19000,60 months,20.3,E,MORTGAGE,60000,debt_consolidation,Charged Off
8000,60 months,14.27,C,RENT,40000,wedding,Fully Paid
10000,36 months,15.96,C,RENT,51000,credit_card,Charged Off
9000,36 months,6.62,A,MORTGAGE,125000,home_improvement,Fully Paid
26375,60 months,17.58,D,MORTGAGE,158000,debt_consolidation,Current
10000,36 months,13.49,C,OWN,72000,credit_card,Fully Paid
10000,36 months,11.71,B,RENT,21000,debt_consolidation,Fully Paid
12600,60 months,20.3,E,MORTGAGE,65000,credit_card,Charged Off
6000,36 months,10.65,B,MORTGAGE,110000,home_improvement,Fully Paid
12800,36 months,12.42,B,RENT,56000,debt_consolidation,Fully Paid
13000,60 months,15.96,C,MORTGAGE,135800,credit_card,Fully Paid
8000,36 months,7.9,A,RENT,72000,other,Fully Paid
6975,36 months,9.91,B,MORTGAGE,102000,credit_card,Fully Paid
13000,36 months,7.9,A,OWN,53100,debt_consolidation,Fully Paid
12000,60 months,16.77,D,MORTGAGE,65000,debt_consolidation,Fully Paid
5000,36 months,6.62,A,RENT,80000,wedding,Fully Paid
17000,36 months,11.71,B,MORTGAGE,101000,debt_consolidation,Fully Paid
12800,36 months,12.42,B,RENT,38000,credit_card,Charged Off
1600,36 months,8.9,A,RENT,67171,other,Fully Paid
1200,36 months,10.65,B,MORTGAGE,30000,other,Fully Paid
26300,60 months,23.13,G,MORTGAGE,65000,credit_card,Charged Off
18800,60 months,20.89,F,RENT,56791,debt_consolidation,Charged Off
12000,36 months,11.71,B,MORTGAGE,36000,credit_card,Fully Paid
28000,36 months,7.9,A,RENT,111000,debt_consolidation,Fully Paid
3125,60 months,21.67,F,OWN,9960,other,Current
20000,36 months,12.69,B,OWN,110000,other,Fully Paid
20000,60 months,12.69,B,MORTGAGE,72000,debt_consolidation,Fully Paid
5000,36 months,9.91,B,RENT,53000,medical,Fully Paid
19000,36 months,13.49,C,MORTGAGE,115000,car,Fully Paid
35000,36 months,9.91,B,OWN,73440,debt_consolidation,Fully Paid
8000,36 months,9.91,B,RENT,47000,debt_consolidation,Charged Off
7200,36 months,17.58,D,RENT,40000,debt_consolidation,Fully Paid
2400,36 months,9.91,B,RENT,45000,debt_consolidation,Fully Paid
25000,60 months,19.03,E,MORTGAGE,87000,debt_consolidation,Charged Off
24250,36 months,19.03,E,OWN,55000,debt_consolidation,Fully Paid
12000,36 months,10.65,B,RENT,36400,debt_consolidation,Fully Paid
15000,60 months,15.96,C,MORTGAGE,90000,debt_consolidation,Current
19200,60 months,18.25,D,RENT,45000,debt_consolidation,In Grace Period
9500,36 months,11.71,B,MORTGAGE,80000,credit_card,Fully Paid
20000,60 months,15.96,C,RENT,45000,debt_consolidation,Fully Paid
9000,36 months,12.69,B,RENT,45000,debt_consolidation,Fully Paid
16000,36 months,7.9,A,MORTGAGE,68000,debt_consolidation,Fully Paid
19600,36 months,9.91,B,MORTGAGE,60000,wedding,Fully Paid
18800,60 months,13.49,C,MORTGAGE,58000,debt_consolidation,Current
10000,36 months,14.27,C,MORTGAGE,75000,major_purchase,Fully Paid
20000,60 months,18.25,D,MORTGAGE,51400,debt_consolidation,Charged Off
9750,36 months,17.27,D,RENT,21600,debt_consolidation,Charged Off
35000,60 months,22.06,F,RENT,90000,debt_consolidation,Current
20000,36 months,7.9,A,MORTGAGE,63000,debt_consolidation,Fully Paid
12000,36 months,14.27,C,RENT,72000,credit_card,Fully Paid
8000,36 months,12.42,B,RENT,50000,debt_consolidation,Fully Paid
28000,60 months,12.69,B,MORTGAGE,67000,debt_consolidation,Fully Paid
6000,36 months,14.27,C,RENT,93000,credit_card,Fully Paid
16000,36 months,6.03,A,MORTGAGE,109000,major_purchase,Fully Paid
19600,36 months,9.91,B,RENT,45000,credit_card,Fully Paid
11500,36 months,7.9,A,MORTGAGE,55000,credit_card,Fully Paid
3000,36 months,12.42,B,RENT,28800,debt_consolidation,Fully Paid
5000,36 months,7.9,A,RENT,53000,car,Fully Paid
7000,36 months,12.42,B,MORTGAGE,54000,credit_card,Charged Off
23325,36 months,15.27,C,MORTGAGE,65000,credit_card,Fully Paid
22200,36 months,12.69,B,RENT,225000,small_business,Fully Paid
14675,60 months,17.27,D,RENT,34500,debt_consolidation,Current
14400,60 months,12.69,B,RENT,75000,debt_consolidation,Charged Off
28000,60 months,11.71,B,MORTGAGE,75000,small_business,Current
12000,60 months,19.03,E,MORTGAGE,65000,credit_card,Fully Paid
15000,36 months,7.9,A,MORTGAGE,31000,debt_consolidation,Charged Off
15000,60 months,21.67,F,OWN,33000,debt_consolidation,Charged Off
15850,60 months,13.49,C,MORTGAGE,36000,debt_consolidation,Fully Paid
12000,36 months,13.49,C,MORTGAGE,46000,credit_card,Fully Paid
1800,36 months,12.69,B,RENT,25000,other,Charged Off
3200,60 months,9.91,B,MORTGAGE,30000,home_improvement,Charged Off
17000,36 months,16.77,D,RENT,90000,credit_card,Fully Paid
5500,36 months,15.96,C,RENT,32000,debt_consolidation,Fully Paid
10000,36 months,13.49,C,RENT,42000,debt_consolidation,Fully Paid
11600,60 months,14.27,C,MORTGAGE,35000,debt_consolidation,Current
16000,60 months,14.27,C,RENT,62000,debt_consolidation,Charged Off
35000,60 months,22.06,F,MORTGAGE,95300,credit_card,Current
11100,60 months,15.96,C,OWN,26000,credit_card,Charged Off
13000,36 months,11.71,B,RENT,38400,debt_consolidation,Fully Paid
12250,36 months,14.27,C,MORTGAGE,45000,credit_card,Fully Paid
29100,60 months,20.3,E,RENT,72000,debt_consolidation,Charged Off
21600,60 months,17.58,D,MORTGAGE,82000,debt_consolidation,Charged Off
10000,36 months,15.96,C,RENT,61000,credit_card,Fully Paid
29100,60 months,18.64,E,RENT,58000,debt_consolidation,Fully Paid
2000,36 months,14.27,C,RENT,65000,debt_consolidation,Fully Paid
9500,36 months,8.9,A,RENT,20000,debt_consolidation,Fully Paid
21000,36 months,11.71,B,RENT,95000,credit_card,Charged Off
11300,36 months,13.49,C,RENT,35000,credit_card,Fully Paid
12000,36 months,12.69,B,RENT,42500,debt_consolidation,Fully Paid
15800,60 months,19.03,E,MORTGAGE,75000,debt_consolidation,Fully Paid
18000,36 months,10.65,B,RENT,68000,credit_card,Fully Paid
6400,36 months,8.9,A,RENT,37000,credit_card,Fully Paid
6000,36 months,7.51,A,RENT,30000,credit_card,Fully Paid
6000,36 months,8.9,A,RENT,55000,debt_consolidation,Fully Paid
5000,36 months,11.71,B,RENT,21600,other,Fully Paid
26400,60 months,19.91,E,MORTGAGE,103000,debt_consolidation,Fully Paid
11300,36 months,14.65,C,MORTGAGE,70000,debt_consolidation,Fully Paid
